ITA,BS,CATEGORY
assonnato,ënsonolènt,
assonnato,ënsonolét,
assopirsi,ënsopìs,
assopirsi,ënsopésër,
assopito,ënsöcàt,
assordare,ënsurdésër,
assorto,ëncantàt,
"asta, verga",palìna,
astore,aquilòt,ornitologia
astore,àstor,ornitologia
astore,sparàër,ornitologia
astore,stór,ornitologia
astro,àstër,botanica
astrologo,stròlëch,
astuccio,stöcc,arcaico
astuto,barachér,
"astuto, briccone, scaltro",galavrì,arcaico
"astuto, briccone, scaltro",gnàgno,figurativo
"astuto, briccone, scaltro",sgabì,arcaico
"astuto, briccone, scaltro",gnìf,gergo-volgare
astuzia,astùsia,
astuzia doppia,naströsia,botanica
asuro taradore,turtaröl,insetto
attaccapanni,portapàgn,
attaccapanni,portatabàr,
attaccapanni,tacapàgn,
attaccare,tacà,
attaccarsi,tacàs,
attaccaticcio,tacadés,
attaccaticcio,tacolét,
attaccato,tacàt,
attacco del timone,sguanzù,
atteggiarsi a bambino,ëmpiconì,
attendere,tèndër,
attenzione,òcio,
attimo,sfrìs de tèmp,
attizzare,ëngazà,
attizzare,stisà,
attizzare,sö,
attizzare,sóta,
attizzatoio,rampì,
attizzatoio,stisaröl,
atto di compravendita,strümènt,
attorcigliarsi,ëntorciàs,
attorcigliato,ënturciolàt,
attorcigliato,ëntürsàt,
attorno,a tùrën,
attraversamento collinare,trànsëgn,
attraversato,traersàt,
attrezzatura,atresadüra,
attrezzo d'estirpazione del romice,caarönës,attrezzo
attrezzo da caseificio,trìda,attrezzo
attrezzo da maniscalco,ràspa,attrezzo
attrezzo del calzolaio,stìca,attrezzo
attrezzo del calzolaio,sbròsa,attrezzo
attrezzo del cardatore,sgarzù,attrezzo
attrezzo del molino,bàtola,attrezzo
attrezzo per affettare,sfetadùr,attrezzo
attrezzo per cogliere i fichi,figaröla,attrezzo
attrezzo per estirpare radici,gaù,attrezzo
attrezzo per il parto del vitello,tirapè,attrezzo
attrezzo per la lavorazione del lino,masöl,attrezzo
attrezzo per la lavorazione del lino,spisù,attrezzo
attrezzo per legare le fascine,sincù,attrezzo
attrezzo per misurare il fieno,trómbe,attrezzo
attrezzo per pettinare la lana,refûra,attrezzo
attrezzo per sbozzolare,menaröla,attrezzo
attrezzo per spannocchiare,scarfuì,attrezzo
attrezzo per spannocchiare,spuntù,attrezzo
attrezzo per svinare,sbrufù,attrezzo
augurare,ëngürà,
austriaco,crùco,
avanti,aànti,
avanzare,vansà,
avanzi,ansòcc,
avanzi,ansaröi,
avanzi,rösgia,
avanzi,riciòch,
avanzi,rès'cc,
avanzi di macelleria,rotótoi,
"avanzi, residui",ansàje,arcaico
"avanzi, residui",riciuchì,
avaro,àghër,
avaro,rampì,
avaro,tègna,
avaro,tiràca,figurativo
avellana,olàna,botanica
aver aiuto,ìga spónda,
avercela con,ìghela 'n fìl,
Avere,Ìga,
avere,ìga,
averla capirosso,gazèta del cò rós,ornitologia
averla capirosso,gazarèt,ornitologia
averla capirosso,gazèt marù,ornitologia
averla capirosso,gazöla gròsa,ornitologia
averla cinerina,gazarèta biànca,ornitologia
averla cinerina,gazèta de làma,ornitologia
averla cinerina,molenér,ornitologia
averla maggiore,gàza medàna,ornitologia
averla maggiore,gazaritù,ornitologia
averla maggiore,gazetù molenér,ornitologia
averla piccola,gazarèt,ornitologia
averla piccola,gazèl,ornitologia
averla piccola,gazèt,ornitologia
averla piccola,picinì,ornitologia
averla piccola,rós,ornitologia
averla piccola,gazöla,ornitologia
avevo,ghìe,
avocetta,avozèta,ornitologia
avocetta,gambìrla,ornitologia
avorio,ólët,arcaico
avvallamento del terreno,pòfa,arcaico
avvallamento della strada,scanafòs,
avvedersene,dàsën,
avvedersi,ëntajàs,
avvelenare,tosegà,
avvelenatore,velenadùr,
avventarsi,bórër,
avventato,buriùs,
